取引所,日付(JST),取引項目,通貨ペア(+),通貨ペア(-),取引量(+)原価ベース,取引額(+)BTCベース,取引額(+)JPY時価,取引額(+)JPY原価,取引量(-)原価ベース,取引額(-)BTCベース,取引額(-)JPY時価,取引額(-)JPY原価,当日BTC時価,取引手数料,手数料通貨,取引手数料(JPY)
zaif,2017/08/24,買い,ZAIF,JPY,0.1,"","","",0.04947,"","","","","","",""
zaif,2017/08/24,買い,ZAIF,JPY,0.1,"","","",0.04947,"","","","","","",""
zaif,2017/08/24,買い,ZAIF,JPY,0.1,"","","",0.04947,"","","","","","",""
zaif,2017/08/24,買い,ZAIF,JPY,0.1,"","","",0.04947,"","","","","","",""
zaif,2017/08/24,買い,ZAIF,JPY,0.1,"","","",0.04947,"","","","","","",""
zaif,2017/08/24,買い,ZAIF,BTC,223006,"","","",0.2341563,"","","","","","",""
zaif,2017/08/24,売り,BTC,ZAIF,0.2341559,"","","",212869,"","","","","","",""
zaif,2017/08/24,買い,ZAIF,BTC,191803,"","","",0.20139315,"","","","","","",""
zaif,2017/08/24,買い,ZAIF,BTC,21066,"","","",0.0221193,"","","","","","",""
zaif,2017/08/24,売り,BTC,ZAIF,0.22351248,"","","",206956,"","","","","","",""
zaif,2017/08/24,買い,ZAIF,BTC,7617,"","","",0.007617,"","","","","","",""
zaif,2017/08/24,買い,ZAIF,BTC,199200,"","","",0.1992,"","","","","","",""
coincheck,2017/08/24,売り,BTC,XRP,0.45047,"","","",7309.1,"","","","","","",""
zaif,2017/08/25,売り,JPY,ZAIF,23521.69119,"","","",41224.9,"","","","","","",""
zaif,2017/08/25,売り,JPY,ZAIF,35846.103,"","","",62887.9,"","","","","","",""
zaif,2017/08/25,売り,JPY,ZAIF,0.05779,"","","",0.1,"","","","","","",""
zaif,2017/08/25,売り,JPY,ZAIF,60166.78712,"","","",104112.8,"","","","","","",""
zaif,2017/08/25,買い,ZAIF,BTC,122068,"","","",0.1464816,"","","","","","",""
zaif,2017/08/25,買い,ZAIF,JPY,215293.1,"","","",119487.6705,"","","","","","",""
zaif,2017/08/25,買い,ZAIF,BTC,72513,"","","",0.08193969,"","","","","","",""
zaif,2017/08/25,買い,ZAIF,BTC,78855,"","","",0.08910615,"","","","","","",""
zaif,2017/08/25,買い,ZAIF,BTC,86034,"","","",0.1032408,"","","","","","",""
zaif,2017/08/25,買い,ZAIF,BTC,1661,"","","",0.00187693,"","","","","","",""
zaif,2017/08/25,買い,ZAIF,BTC,7749,"","","",0.00875637,"","","","","","",""
zaif,2017/08/25,買い,ZAIF,BTC,89878,"","","",0.10156214,"","","","","","",""
zaif,2017/08/25,買い,ZAIF,BTC,142076,"","","",0.16622892,"","","","","","",""
zaif,2017/08/25,売り,BTC,ZAIF,0.148709,"","","",122900,"","","","","","",""
zaif,2017/08/25,売り,BTC,ZAIF,0.00121,"","","",1000,"","","","","","",""
zaif,2017/08/25,売り,BTC,ZAIF,0.21793552,"","","",180112,"","","","","","",""
zaif,2017/08/25,買い,ZAIF,BTC,93323,"","","",0.10918791,"","","","","","",""
zaif,2017/08/25,売り,BTC,ZAIF,0.146616,"","","",119200,"","","","","","",""
zaif,2017/08/25,売り,BTC,ZAIF,0.00006426,"","","",51,"","","","","","",""
zaif,2017/08/25,売り,BTC,ZAIF,0.10507014,"","","",83389,"","","","","","",""
zaif,2017/08/25,売り,JPY,ZAIF,42112.52546,"","","",66778.5,"","","","","","",""
zaif,2017/08/25,売り,JPY,ZAIF,36513.28781,"","","",57899.7,"","","","","","",""
zaif,2017/08/25,売り,BTC,ZAIF,0.12718602,"","","",112554,"","","","","","",""
zaif,2017/08/25,売り,JPY,ZAIF,630.63,"","","",1000,"","","","","","",""
zaif,2017/08/25,売り,JPY,ZAIF,630,"","","",1000,"","","","","","",""
zaif,2017/08/25,売り,JPY,ZAIF,0.63,"","","",1,"","","","","","",""
zaif,2017/08/25,売り,JPY,ZAIF,42850.647,"","","",68016.9,"","","","","","",""
zaif,2017/08/25,買い,ZAIF,JPY,48714.1,"","","",29228.46,"","","","","","",""
zaif,2017/08/25,買い,ZAIF,JPY,2000,"","","",1200,"","","","","","",""
zaif,2017/08/25,買い,ZAIF,BTC,160291,"","","",0.1923492,"","","","","","",""
zaif,2017/08/25,買い,ZAIF,JPY,153584.8,"","","",92150.88,"","","","","","",""
zaif,2017/08/25,買い,ZAIF,BTC,25239,"","","",0.0302868,"","","","","","",""
zaif,2017/08/25,売り,BTC,ZAIF,0.00000126,"","","",1,"","","","","","",""
zaif,2017/08/25,売り,BTC,ZAIF,0.00000126,"","","",1,"","","","","","",""
zaif,2017/08/25,売り,BTC,ZAIF,0.1182025,"","","",90925,"","","","","","",""
zaif,2017/08/25,売り,BTC,ZAIF,0.0208,"","","",16000,"","","","","","",""
zaif,2017/08/25,売り,BTC,ZAIF,0.0000208,"","","",16,"","","","","","",""
zaif,2017/08/25,売り,BTC,ZAIF,0.0000013,"","","",1,"","","","","","",""
zaif,2017/08/25,売り,BTC,ZAIF,0.1143623,"","","",87971,"","","","","","",""
zaif,2017/08/25,売り,BTC,ZAIF,0.13462377,"","","",97456,"","","","","","",""
zaif,2017/08/25,売り,BTC,ZAIF,0.13546523,"","","",97457,"","","","","","",""
zaif,2017/08/25,買い,ZAIF,BTC,1,"","","",0.0000012,"","","","","","",""
zaif,2017/08/25,買い,ZAIF,BTC,122,"","","",0.0001464,"","","","","","",""
zaif,2017/08/26,買い,ZAIF,JPY,614036.7,"","","",405264.222,"","","","","","",""
zaif,2017/08/26,買い,ZAIF,BTC,579279,"","","",0.8109906,"","","","","","",""
zaif,2017/08/26,売り,JPY,ZAIF,87.1002,"","","",124.5,"","","","","","",""
